[15:21:12] [ServerMain/INFO]: Building unoptimized datafixer
[15:21:15] [ServerMain/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[15:21:20] [ServerMain/INFO]: Loaded 7 recipes
[15:21:20] [ServerMain/INFO]: Loaded 1179 advancements
[15:21:21] [Server thread/INFO]: Starting minecraft server version 1.19.3
[15:21:21] [Server thread/WARN]: To start the server with more ram, launch it as "java -Xmx1024M -Xms1024M -jar minecraft_server.jar"
[15:21:21] [Server thread/INFO]: Loading properties
[15:21:21] [Server thread/INFO]: Default game type: SURVIVAL
[15:21:21] [Server thread/INFO]: Generating keypair
[15:21:21] [Server thread/INFO]: Starting Minecraft server on *:25565
[15:21:22] [Server thread/INFO]: Using epoll channel type
[15:21:22] [Server thread/INFO]: Preparing level "world"
[15:21:43] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[15:21:48] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[15:21:48] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[15:21:48] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[15:21:48] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[15:21:48] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[15:21:48] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[15:21:48] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[15:21:48] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[15:21:48] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[15:21:48] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[15:21:48] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[15:21:49] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[15:21:49] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[15:21:50] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[15:21:50] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[15:21:52] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[15:21:52] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[15:21:52] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[15:21:52] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[15:21:53] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[15:22:06] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[15:22:06] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[15:22:06] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[15:22:06] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[15:22:06] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[15:22:06] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[15:22:06] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[15:22:06] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[15:22:06] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[15:22:06] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[15:22:06] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[15:22:06] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[15:22:06] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[15:22:06] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[15:22:06] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[15:22:06] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[15:22:06] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[15:22:06] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[15:22:06] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[15:22:06] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[15:22:06] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[15:22:06] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[15:22:06] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[15:22:06] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[15:22:06] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[15:22:06] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[15:22:06] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[15:22:07] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[15:22:08] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[15:22:08] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[15:22:08] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[15:22:09] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[15:22:09] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[15:22:10] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[15:22:11] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[15:22:11] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[15:22:11] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[15:22:12] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[15:22:12] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[15:22:14] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[15:22:14] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[15:22:14] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[15:22:14] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[15:22:15] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[15:22:16] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[15:22:16] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[15:22:16] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[15:22:17] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[15:22:17] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[15:22:18] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[15:22:19] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[15:22:19] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[15:22:19] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[15:22:20] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[15:22:20] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[15:22:21] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[15:22:22] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[15:22:22] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[15:22:22] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[15:22:23] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[15:22:23] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[15:22:24] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[15:22:24] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[15:22:26] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[15:22:26] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[15:22:26] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[15:22:26] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[15:22:27] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[15:22:27] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[15:22:28] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[15:22:29] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[15:22:29] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[15:22:29] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[15:22:30] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[15:22:30] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[15:22:31] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[15:22:32] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[15:22:32] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[15:22:32] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[15:22:33] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[15:22:33] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[15:22:34] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[15:22:35] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[15:22:36] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[15:22:36] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[15:22:36] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[15:22:36] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[15:22:37] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[15:22:38] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[15:22:38] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[15:22:38] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[15:22:39] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[15:22:39] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[15:22:41] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[15:22:41] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[15:22:41] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[15:22:41] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[15:22:42] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[15:22:43] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[15:22:43] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[15:22:43] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[15:22:44] [Worker-Main-8/INFO]: Preparing spawn area: 0%
[15:22:44] [Worker-Main-8/INFO]: Preparing spawn area: 0%
[15:22:46] [Worker-Main-8/INFO]: Preparing spawn area: 0%
[15:22:46] [Worker-Main-8/INFO]: Preparing spawn area: 0%
[15:22:46] [Worker-Main-8/INFO]: Preparing spawn area: 0%
[15:22:46] [Worker-Main-8/INFO]: Preparing spawn area: 1%
[15:22:47] [Worker-Main-8/INFO]: Preparing spawn area: 1%
[15:22:47] [Worker-Main-8/INFO]: Preparing spawn area: 1%
[15:22:48] [Worker-Main-8/INFO]: Preparing spawn area: 1%
[15:22:49] [Worker-Main-8/INFO]: Preparing spawn area: 1%
[15:22:49] [Worker-Main-8/INFO]: Preparing spawn area: 1%
[15:22:49] [Worker-Main-8/INFO]: Preparing spawn area: 1%
[15:22:50] [Worker-Main-7/INFO]: Preparing spawn area: 1%
[15:22:50] [Worker-Main-7/INFO]: Preparing spawn area: 5%
[15:22:51] [Worker-Main-7/INFO]: Preparing spawn area: 5%
[15:22:51] [Worker-Main-7/INFO]: Preparing spawn area: 5%
[15:22:52] [Worker-Main-7/INFO]: Preparing spawn area: 5%
[15:22:52] [Worker-Main-7/INFO]: Preparing spawn area: 5%
[15:22:53] [Worker-Main-7/INFO]: Preparing spawn area: 5%
[15:22:53] [Worker-Main-7/INFO]: Preparing spawn area: 5%
[15:22:54] [Worker-Main-7/INFO]: Preparing spawn area: 5%
[15:22:54] [Worker-Main-7/INFO]: Preparing spawn area: 5%
[15:22:56] [Worker-Main-7/INFO]: Preparing spawn area: 5%
[15:22:56] [Worker-Main-7/INFO]: Preparing spawn area: 5%
[15:22:56] [Worker-Main-7/INFO]: Preparing spawn area: 5%
[15:22:56] [Worker-Main-7/INFO]: Preparing spawn area: 5%
[15:22:58] [Worker-Main-7/INFO]: Preparing spawn area: 15%
[15:22:58] [Worker-Main-7/INFO]: Preparing spawn area: 15%
[15:22:58] [Worker-Main-7/INFO]: Preparing spawn area: 15%
[15:22:58] [Worker-Main-7/INFO]: Preparing spawn area: 15%
[15:22:59] [Worker-Main-7/INFO]: Preparing spawn area: 18%
[15:22:59] [Worker-Main-7/INFO]: Preparing spawn area: 18%
[15:23:00] [Worker-Main-7/INFO]: Preparing spawn area: 18%
[15:23:00] [Worker-Main-7/INFO]: Preparing spawn area: 18%
[15:23:01] [Worker-Main-7/INFO]: Preparing spawn area: 18%
[15:23:01] [Worker-Main-7/INFO]: Preparing spawn area: 18%
[15:23:02] [Worker-Main-7/INFO]: Preparing spawn area: 18%
[15:23:02] [Worker-Main-7/INFO]: Preparing spawn area: 18%
[15:23:03] [Worker-Main-7/INFO]: Preparing spawn area: 18%
[15:23:03] [Worker-Main-7/INFO]: Preparing spawn area: 18%
[15:23:05] [Worker-Main-7/INFO]: Preparing spawn area: 18%
[15:23:05] [Worker-Main-7/INFO]: Preparing spawn area: 18%
[15:23:05] [Worker-Main-7/INFO]: Preparing spawn area: 18%
[15:23:05] [Worker-Main-7/INFO]: Preparing spawn area: 18%
[15:23:06] [Worker-Main-7/INFO]: Preparing spawn area: 18%
[15:23:07] [Worker-Main-7/INFO]: Preparing spawn area: 18%
[15:23:07] [Worker-Main-7/INFO]: Preparing spawn area: 18%
[15:23:07] [Worker-Main-7/INFO]: Preparing spawn area: 18%
[15:23:08] [Worker-Main-7/INFO]: Preparing spawn area: 18%
[15:23:09] [Worker-Main-7/INFO]: Preparing spawn area: 18%
[15:23:09] [Worker-Main-7/INFO]: Preparing spawn area: 18%
[15:23:09] [Worker-Main-7/INFO]: Preparing spawn area: 18%
[15:23:10] [Worker-Main-7/INFO]: Preparing spawn area: 18%
[15:23:11] [Worker-Main-7/INFO]: Preparing spawn area: 18%
[15:23:11] [Worker-Main-7/INFO]: Preparing spawn area: 18%
[15:23:11] [Worker-Main-7/INFO]: Preparing spawn area: 18%
[15:23:12] [Worker-Main-7/INFO]: Preparing spawn area: 18%
[15:23:13] [Worker-Main-7/INFO]: Preparing spawn area: 18%
[15:23:13] [Worker-Main-7/INFO]: Preparing spawn area: 18%
[15:23:13] [Worker-Main-7/INFO]: Preparing spawn area: 18%
[15:23:14] [Worker-Main-7/INFO]: Preparing spawn area: 18%
[15:23:14] [Worker-Main-7/INFO]: Preparing spawn area: 18%
[15:23:15] [Worker-Main-7/INFO]: Preparing spawn area: 18%
[15:23:15] [Worker-Main-7/INFO]: Preparing spawn area: 18%
[15:23:16] [Worker-Main-7/INFO]: Preparing spawn area: 18%
[15:23:16] [Worker-Main-7/INFO]: Preparing spawn area: 18%
[15:23:17] [Worker-Main-7/INFO]: Preparing spawn area: 18%
[15:23:17] [Worker-Main-7/INFO]: Preparing spawn area: 18%
[15:23:18] [Worker-Main-7/INFO]: Preparing spawn area: 18%
[15:23:18] [Worker-Main-7/INFO]: Preparing spawn area: 18%
[15:23:19] [Worker-Main-7/INFO]: Preparing spawn area: 18%
[15:23:19] [Worker-Main-7/INFO]: Preparing spawn area: 18%
[15:23:20] [Worker-Main-7/INFO]: Preparing spawn area: 18%
[15:23:20] [Worker-Main-7/INFO]: Preparing spawn area: 18%
